"kurtas/anouk/anouk-women-pink-printed-a-line-kurta/2323065/buy","Pink printed A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slits","Cotton Machine-wash"
"kurtas/anouk/anouk-women-grey--mustard-yellow-printed-a-line-kurta/2323139/buy","Grey and mustard yellow printed A-line kurta, has a round neck, three-quarter sleeves, curved hem, side slits","Cotton  Hand-wash"
"kurtas/anouk/anouk-women-white--green-printed-a-line-kurta/2135950/buy","White and green printed A-line kurta, has a mandarin collar, three-quarter sleeves, flared hem, front slit","100% cottonHand-wash"
"kurtas/anouk/anouk-women-black--grey-printed-straight-south-handloom-kurta/2294501/buy","Black and grey printed straight kurta, has a shirt collar, three-quarter sleeves, straight hem, side slits","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-black-yoke-design-a-line-kurta/2323022/buy","Black yoke design A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slits","Cotton  Machine-wash"
"kurtas/anouk/anouk-women-green-jacquard-anarkali-kurta/1779349/buy","Green Anarkali kurta in Jacquard weave, has a mandarin collar, three-quarter sleeves, a short button-and-loop placket, slightly flared hemThis kurta can be styled as a dress as well","100% cotton Hand-wash"
"kurtas/anouk/anouk-women-orange-striped-a-line-kurta/2322753/buy","Orange striped A-line kurta, has a off-shoulder styling, three-quarter sleeves, flared hem","100% cottonHand-wash"
"kurtas/anouk/anouk-women-blue--pink-printed-a-line-kurta/2322961/buy","Blue and pink printed A-line kurta, has a round neck, three-quarter sleeves, curved hem, side slits","Cotton  Hand-wash"
"kurtas/anouk/anouk-women-blue--white-printed-anarkali-kurta/2323220/buy","Blue and white printed anarkali kurta, has a round neck, three-quarter sleeves, flared hem, no slits","Cotton Machine-wash"
"kurtas/anouk/anouk-women-blue--green-printed-straight-kurta/2323149/buy","Blue and green printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-navy-blue-printed-a-line-kurta/2323016/buy","Navy blue printed A-line kurta, has a round neck, short sleeves, flared hem","100% viscoseMachine-wash"
"kurtas/anouk/anouk-women-green-printed-a-line-kurta/2322773/buy","Green printed A-line kurta, has a stylised round neck, three-quarter sleeves, flared hem, no slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-multicoloured-printed-straight-kurta/2294485/buy","-","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-black-solid-a-line-kurta/2370075/buy","Black solid A-line kurta, has a mandarin collar, three-quarter sleeves, flared hem, no slits","Viscose Hand-wash"
"kurtas/anouk/anouk-women-blue--red-printed-a-line-kurta/2370022/buy","Blue and red printed A-line kurta, has a round neck, three-quarter sleeves, flared hem","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-blue--red-printed-straight-kurta/2323128/buy","Blue and red printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-multicoloured-printed-high-low-kurta/2323107/buy","Multicoloured printed A-line kurta, has a round neck, three-quarter sleeves, high-low hem","100% viscoseMachine-wash"
"kurtas/anouk/anouk-women-mustard-yellow-printed-a-line-kurta/2370056/buy","Mustard yellow printed A-line kurta, has a round neck, three-quarter sleeves, asymmetric hem, no slits","100% viscoseHand-wash"
"kurtas/anouk/anouk-women-grey--green-printed-angrakha-anarkali-kurta/2294499/buy","Grey and green printed Anarkali kurta, has a round neck, three-quarter sleeves, flared hem, no slits","100% viscoseMachine-wash"
"kurtas/anouk/anouk-women-mustard--red-printed-a-line-kurta/2323164/buy","Mustard and red printed A-line kurta, has a mandarin collar, three-quarter sleeves, curved hem, side slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-pink--white-printed-a-line-kurta/2323156/buy","Pink and white printed A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slits","Cotton  Machine-wash"
"kurtas/anouk/anouk-women-blue--white-printed-a-line-kurta/2323242/buy","Blue and white printed A-line kurta, has a round neck, three-quarter sleeves, asymmetric hem, no slits","Cotton  Hand-wash"
"kurtas/anouk/anouk-women-green-printed-a-line-kurta/2323020/buy","Green printed A-line kurta, has a keyhole neck, three-quarter sleeves, flared hem, no slits","Cotton Machine-wash"
"kurtas/anouk/anouk-women-navy-blue-printed-a-line-kurta/2323229/buy","Navy Blue printed A-line kurta, has a round neck, short sleeves, flared hem, no slits","Cotton  Machine-wash"
"kurtas/anouk/anouk-women-pink-yoke-design-a-line-kurta/2323210/buy","Pink yoke design A-line kurta, has a round neck, three-quarter sleeves, curved hem, no slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-blue-printed-a-line-kurta/2323173/buy","Blue printed A-line kurta, has a mandarin collar, three-quarter sleeves, curved hem, no slits","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-mustard-yellow-printed-a-line-kurta/2322764/buy","Mustard yellow printed A-line kurta, has a round neck, three-quarter sleeves, high-low hem, no slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-orange-printed-a-line-kurta/2322982/buy","Orange printed A-line kurta, has a round neck, three-quarter sleeves, straight hem, side slits","Viscose Hand-wash"
"kurtas/anouk/anouk-women-black--gold-toned-printed-straight-kurta/2323142/buy","Black and gold-toned printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","Cotton  Hand-wash"
"kurtas/anouk/anouk-women-green--blue-checked-straight-kurta/2323189/buy","Green and blue checked straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, multiple slits","100% polyesterHand-wash"
"kurtas/anouk/anouk-women-rust-brown-printed-a-line-kurta/2323178/buy","Rust brown printed A-line kurta, has a round neck, three-quarter sleeves, straight hem, side slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-maroon-printed-a-line-kurta/2322891/buy","Maroon printed A-line kurta, has a round neck, three-quarter sleeves, flared hem","100% polyesterMachine-wash"
