"kurtas/anouk/anouk-women-pink-printed-a-line-kurta/2323065/buy","Pink printed A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slits","Cotton Machine-wash"
"kurtas/anouk/anouk-women-beige--olive-green-printed-a-line-kurta/2038950/buy","Beige and olive green printed A-line kurta, has a round neck, three-quarter sleeves, straight hem, side slits","CottonHand-wash"
"kurtas/anouk/anouk-women-red--off-white-yoke-design-a-line-kurta/2323021/buy","Red and off-white yoke design A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slits","Cotton  Machine-wash"
"kurtas/anouk/anouk-women-navy-blue-embroidered-a-line-kurta/2012126/buy","Navy blue embroidered A-line kurta, has a shirt collar, short sleeves, asymmetric hem, no slits","Cotton Machine-wash"
"kurtas/anouk/anouk-women-maroon--black-woven-design-a-line-kurta/2038937/buy","Maroon and black woven design A-line kurta, has a round neck, three-quarter sleeves, asymmetric hem, no slits","Viscose and cotton blendHand-wash"
"kurtas/anouk/anouk-women-black-printed-a-line-kurta/1999989/buy","Black printed A-line kurta, has a V-neck, three-quarter sleeves, straight hem, front slit","100% cotton  Hand-wash"
"kurtas/anouk/anouk-women-red-printed-a-line-kurta/1999994/buy","Red printed A-line kurta, has a round neck, three-quarter sleeves, flared hem","100% cotton Machine-wash"
"kurtas/anouk/anouk-women-yellow--peach-coloured-printed-a-line-kurta/2294495/buy","Yellow and peach-coloured printed A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slits","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-yellow-printed-straight-kurta/1860308/buy","Yellow printed straight kurta, has a shirt collar, three-quarter roll-up sleeves, a full button placket, a flared hem, and side slits","100% polyester Machine-wash cold"
"kurtas/anouk/anouk-women-navy-blue-striped-straight-kurta/2322745/buy","Navy blue striped straight kurta, has a shirt collar, three-quarter sleeves, straight hem, no slits and a full button placket.","100% cottonHand-wash"
"kurtas/anouk/anouk-women-grey--navy-printed-a-line-kurta/2322729/buy","Grey and navy blue printed A-line kurta, has a round neck, three-quarter sleeves, asymmetric hem, no slits","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-blue-printed-a-line-kurta/2322920/buy","Blue printed A-line kurta, has a V-neck, three-quarter sleeves, straight hem, no slits","100% polyesterHand-wash"
"kurtas/anouk/anouk-women-burgundy-printed-straight-kurta/2012192/buy","Burgundy printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","100% rayonMachine-wash"
"kurtas/anouk/anouk-women-brown--blue-printed-a-line--kurta/2322971/buy","Brown and blue printed A-line kurta with gathered detailing, has a round neck, three-quarter sleeves, curved hem, no slits","ViscoseHand-wash"
"kurtas/anouk/anouk-women-red--beige-printed-anarkali-kurta/2372234/buy","Red and beige printed Anarkali kurta, has a round neck, three-quarter sleeves, flared hem, no slits","Cotton Machine-wash"
"kurtas/anouk/anouk-women-cream-coloured-printed-a-line-dress/2140463/buy","Cream-Coloured printed woven A-line kurta, has a shirt collar, three-quarter sleeves, button closure, flared hem","100% cottonHand-wash"
"kurtas/anouk/anouk-women-maroon-woven-design-a-line-kurta/2294505/buy","Maroon woven design A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slits","100% viscoseMachine-wash"
"kurtas/anouk/anouk-women-blue-printed-a-line-kurta/2322801/buy","Blue printed A-line kurta, has a mandarin collar, three-quarter sleeves, flared hem","100% cottonHand-wash"
"kurtas/anouk/anouk-women-brown-printed-a-line-kurta/2322799/buy","Brown printed A-line kurta, has a V-neck, three-quarter sleeves, flared hem","100% cottonHand-wash"
"kurtas/anouk/anouk-women-blue-printed-a-line-kurta/2135036/buy","Blue printed A-line kurta, has a round neck, three-quarter sleeves, straight hem, front slit","100% polyesterHand-wash"
"kurtas/anouk/anouk-women-beige--blue-printed-a-line-kurta/2322899/buy","Beige and blue printed A-line kurta, has a round neck, three-quarter sleeves, straight hem, no slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-black-printed-a-line-kurta/2322956/buy","Black printed A-line kurta, has a V-neck, three-quarter sleeves, curved hem, no slits","Viscose Rayon  Hand-wash"
"kurtas/anouk/anouk-women-olive-green-printed-a-line-kurta/2322727/buy","Mustard printed A-line kurta, has a mandarin collar, three-quarter sleeves, straight hem, front slit","100% cottonHand-wash"
"kurtas/anouk/anouk-women-pink-printed-straight-kurta/2322872/buy","Pink printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","100% polyesterHand-wash"
"kurtas/anouk/anouk-women-cream-coloured--pink-embroidered-a-line-kurta/1897460/buy","Cream-coloured and pink embroidered A-line kurta, has a round neck, three-quarter sleeves, straight hem","100% polyester  Machine-wash"
"kurtas/anouk/anouk-women-black-printed-a-line-kurta/2021304/buy","Black printed A-line kurta, has a round neck, sleeveless, straight hem, no slits","Polyester Machine-wash"
"kurtas/anouk/anouk-women-navy-blue-yoke-design-a-line-kurta/2370007/buy","Navy blue yoke design A-line kurta, has a mandarin collar, three-quarter sleeves, asymmetric hem, no slits","100% viscoseHand-wash"
"kurtas/anouk/anouk-women-off-white--black-printed-a-line-kurta/2323092/buy","Off-white and black printed A-line kurta, has a round neck, three-quarter sleeves, straight hem, side slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-red-embroidered-anarkali-kurta/2135025/buy","Red embroidered Anarkali kurta, has a round neck, long sleeves, flared hem","100% polyesterHand-wash"
"kurtas/anouk/anouk-women-maroon--beige-printed-a-line-kurta/2323013/buy","Maroon and beige printed A-line kurta, has a mandarin collar, three-quarter sleeves, straight hem","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-pink--white-checked-a-line-kurta/2323206/buy","Pink and white checked A-line kurta, has a round neck, short sleeves, curved hem, no slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-white--peach-coloured-yoke-design-straight-kurta/1860317/buy","White and peach-coloured yoke design straight kurta, has a round neck, long sleeves, straight hem, side slits","100% polyester  Machine-wash"
"kurtas/anouk/anouk-women-maroon--black-printed-a-line-kurta/2323147/buy","Maroon and black printed A-line kurta, has a round neck, three-quarter sleeves, curved hem","100% viscoseHand-wash"
"kurtas/anouk/anouk-women-blue--green-printed-a-line-kurta/2322816/buy","Blue and green printed A-line kurta, has a round neck, three-quarter sleeves, slightly flared hem, no slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-multicoloured-printed-a-line-kurta/2370024/buy","Multicoloured printed A-line kurta, has a round neck, three-quarter sleeves, flared hem","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-navy-blue--beige-yoke-design-a-line-kurta/2015846/buy","Navy Blue and beige yoke design A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slits","Cotton  Hand-wash"
"kurtas/anouk/anouk-women-orange-printed-a-line-kurta/2322761/buy","Orange printed A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slits","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-maroon-printed-a-line-kurta/2322765/buy","Maroon printed A-line kurta, has a round neck, three-quarter sleeves, curved hem, no slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-black--grey-checked-a-line-kurta/2128228/buy","Black and grey checked A-line kurta, has an off-shoulder neck, three-quarter sleeves, flared hem, no slitsThis kurta can also be worn as a dress","100% cottonHand-wash"
"kurtas/anouk/anouk-women-beige-solid-a-line-kurta/2323100/buy","Beige solid A-line kurta, has a round neck, three-quarter sleeves, curved hem","100% viscoseMachine-wash"
"kurtas/anouk/anouk-women-navy-blue-printed-a-line-kurta/2135948/buy","Navy blue printed A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slits","Cotton Hand-wash"
"kurtas/anouk/anouk-women-black--blue-printed-a-line-kurta/1781586/buy","Black printed A-line kurta, has a keyhole neck, short sleeves, flared hem, no slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-green--brown-printed-a-line-fusion-kurta/2322807/buy","Green and brown printed A-line kurta, has a V-neck, three-quarter sleeves, flared hem, no slits","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-maroon-yoke-design-anarkali-kurta/2012182/buy","Maroon yoke design anarkali kurta, has a round neck, three-quarter sleeves, flared hem, no slits","PolyesterMachine-wash"
"kurtas/anouk/anouk-women-black-printed-a-line-kurta/2140522/buy","Black printed A-line kurta, has a round neck, three-quarter sleeves, straight hem, side slits","60% cotton, 40% viscoseMachine-wash"
"kurtas/anouk/anouk-women-yellow-checked-straight-kurta/2038960/buy","Yellow checked straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","CottonHand-wash"
"kurtas/anouk/anouk-women-beige--blue-printed-a-line-kurta/2370068/buy","Beige and blue printed A-line kurta, has a round neck, three-quarter sleeves, straight hem, no slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-maroon--black-printed-straight-kurta/2322734/buy","Maroon and black printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slits","50% cotton, 50% rayonHand-wash"
"kurtas/anouk/anouk-women-blue--mustard-yellow-printed-a-line-kurta/2323078/buy","Blue and mustard yellow printed A-line kurta, has a round neck, three-quarter sleeves, curved hem, no slits","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-red--blue-printed-a-line-kurta/2135499/buy","Red and blue printed A-line layered kurta, has a round neck, three-quarter sleeves, flared hem, no slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-blue--coral-printed-straight-kurta/2012154/buy","Blue and coral printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slits","Polyester  Machine-wash"
"kurtas/anouk/anouk-women-black--white-checked-straight-kurta/2038957/buy","Black and white checked straight kurta, has a round neck, three-quarter sleeves, straight hem, multiple slits","Cotton Hand-wash"
"kurtas/anouk/anouk-women-maroon-printed-a-line-kurta/2323036/buy","Maroon printed A-line kurta, has a square neck, short sleeves, high-low hem, no slits","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-navy-blue--red-printed-a-line-kurta/2323043/buy","Navy blue and red printed A-line kurta, has a V-neck, short sleeves, straight hem, no slits","100%v viscoseMachine-wash"
"kurtas/anouk/anouk-women-red--brown-printed-a-line-kurta/2135933/buy","Red and brown printed A-line kurta, has a round neck, three-quarter sleeves, flared hem","100% cottonHand-wash"
"kurtas/anouk/anouk-women-beige--red-printed-straight-kurta/2038949/buy","Beige and red printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","Cotton  Hand-wash"
"kurtas/anouk/anouk-women-red--black-printed-a-line-kurta/2015872/buy","Red and black printed A-line kurta, has a round neck, three-quarter sleeves, flared hem","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-red--black-printed-a-line-kurta/2322740/buy","Red and black printed A-line kurta, has a round neck, three-quarter sleeves, asymmetric hem, no slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-cream-coloured--brown-printed-a-line-kurta/2322896/buy","Cream-Coloured and brown printed A-line kurta, has a round neck, three-quarter sleeves, straight hem, no slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-green--blue-printed-straight-kurta/1497912/buy","Green and blue printed straight kurta, has a round neck, three-quarter sleeves with roll-up tabs, high-low hem","PolyesterHand-wash"
"kurtas/anouk/anouk-women-blue--white-printed-a-line-kurta/2322803/buy","Blue and white printed A-line kurta, has a mandarin collar, three-quarter sleeves, flared hem","100% cottonHand-wash"
"kurtas/anouk/anouk-women-pink-printed-a-line-kurta/2135947/buy","Pink printed A-line kurta, has a round neck with zip closure, three-quarter sleeves, flared hem","100% cottonHand-wash"
"kurtas/anouk/anouk-women-pink--cream-coloured-printed-a-line-kurta/2294489/buy","Pink and cream-coloured printed A-line kurta, has a round neck, three-quarter sleeves, flared hem","100% viscoseMachine-wash"
"kurtas/anouk/anouk-women-blue-striped-a-line-kurta/2323157/buy","Blue striped A-line kurta, has a round neck, three-quarter sleeves, curved hem, no slits","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-grey--orange-embroidered-a-line-kurta/2012119/buy","Grey and orange embroidered A-line kurta, has a round neck, short sleeves, straight hem, side slits","Cotton Machine-wash"
"kurtas/anouk/anouk-women-blue--white-printed-a-line-kurta/2322962/buy","Blue and white printed A-line kurta, has a round neck, three-quarter sleeves, cureved hem, side slits","Viscose Hand-wash"
"kurtas/anouk/anouk-women-beige--navy-blue-printed-a-line-kurta/2135504/buy","Beige and navy blue printed A-line layered kurta, has a round neck, three-quarter sleeves, curved hem, no slits","Cotton Hand-wash"
"kurtas/anouk/anouk-women-black-woven-design-straight-kurta/2038927/buy","Black woven design straight kurta, has a mandarin collar, short sleeves, straight hem, side slits","Cotton Machine-wash"
"kurtas/anouk/anouk-women-black-embroidered-a-line-kurta/2021326/buy","Black embroidered A-line kurta, has a boat neck, short sleeves, asymmetric hem, front slit","Polyester  Machine-wash"
"kurtas/anouk/anouk-women-black-printed-a-line-kurta/2021315/buy","Black printed A-line kurta, has a boat neck, sleeveless, curved hem, side slits","100% polyesterHand-wash"
"kurtas/anouk/anouk-women-red-printed-straight-kurta/1999979/buy","Red printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","Cotton  Hand-wash"
"kurtas/anouk/anouk-women-pink-printed-a-line-kurta/2322955/buy","Pink printed A-line kurta, has a V-neck, three-quarter sleeves, curved hem, no slits","Cotton Machine-wash"
"kurtas/anouk/anouk-women-orange--off-white-printed-a-line-kurta/2015863/buy","Orange and off-white printed A-line kurta, has a round neck, sleeveless, flared hem","Inner: 100% cottonOuter: 100% polyesterMachine-wash"
"kurtas/anouk/anouk-women-yellow-printed-a-line-kurta/2038935/buy","Yellow printed A-line kurta, has a round neck, three-quarter sleeves, high-low hem, side slits","60% viscose, 40% cottonMachine-wash"
"kurtas/anouk/anouk-women-off-white--green-yoke-design-straight-kurta/1860318/buy","Off-White and green printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","100% polyester Hand-wash"
"kurtas/anouk/anouk-women-purple-yoke-design-a-line-kurta/2012186/buy","Purple yoke design A-line kurta, has a round neck, sleeveless, flared hem, no slits","Cotton Machine-wash"
"kurtas/anouk/anouk-yellow-printed-a-line-kurta/1771140/buy","Yellow printed A-line kurta, has a V-neck, sleeveless, straight hem","100% polyester Machine-wash"
"kurtas/anouk/anouk-women-black--red-printed-straight-kurta/1681483/buy","Black and red printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","100% viscose  Machine-wash"
"kurtas/anouk/anouk-women-orange-printed-a-line-kurta/2021314/buy","Orange printed A-line kurta, has a boat neck, sleeveless, curved hem, side slits","100% polyesterHand-wash"
"kurtas/anouk/anouk-women-green--pink-printed-straight-kurta/1497913/buy","Green and pink printed straight kurta, has a round neck, three-quarter sleeves,with roll-up tabs high-low hem","PolyesterHand-wash"
"kurtas/anouk/anouk-women-blue-printed-straight-kurta/2012176/buy","Blue printed straight kurta, has a round neck, sleeveless, straight hem, side slits","RayonMachine-wash"
"kurtas/anouk/anouk-women-black-printed-a-line-kurta/2012175/buy","Black printed A-line kurta, has a round neck, sleeveless, high-low hem, side slits","ViscoseMachine-wash"
"kurtas/anouk/anouk-women-red-chanderi-blend-woven-design-anarkali-kurta/2323263/buy","Red woven design Anarkali kurta, has a round neck, sleeveless, flared hem","Chanderi blendHand-wash"
"kurtas/anouk/anouk-women-pink-printed-anarkali-kurta/2011747/buy","Pink and brown printed anarkali kurta, has a round neck, three-quarter sleeves, flared hem, front slit","100% polyesterHand-wash"
"kurtas/anouk/anouk-women-white-yoke-design-a-line-kurta/1897453/buy","White yoke design A-line kurta, has a round neck, three-quarter sleeves, straight hem, no slits","Polyester  Hand-wash"
"kurtas/anouk/anouk-women-navy-striped-straight-kurta/2038945/buy","Navy blue striped straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","100% viscoseHand-wash"
"kurtas/anouk/anouk-women-rust-brown-printed-straight-kurta/1897445/buy","Rust printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","Polyester  Machine-wash"
"kurtas/anouk/anouk-women-multicoloured-printed-a-line-kurta/2012120/buy","Multicoloured printed A-line kurta, has a round neck, short sleeves, straight hem, side slits","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-black-embroidered-anarkali-kurta/2135027/buy","Black embroidered Anarkali kurta, has a round neck, long sleeves, flared hem","100% polyesterHand-wash"
"kurtas/anouk/anouk-women-off-white--red-layered-kurta/2015865/buy","Off-white and red A-line layered kurta, has a mandarin collar, three-quarter sleeves, flared hem","Inner: 100% cottonOuter: 100% polyester Machine-wash"
"kurtas/anouk/anouk-women-blue-printed-a-line-kurta/2370019/buy","Blue printed A-line kurta, has a round neck, three-quarter sleeves, straight hem, no slits","Viscose and cottonMachine-wash"
"kurtas/anouk/anouk-women-green--off-white-yoke-design-a-line-kurta/2323024/buy","Green and off-white yoke design A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slits","Cotton  Machine-wash"
"kurtas/anouk/anouk-women-khaki-printed-a-line-kurta/2322918/buy","Khaki printed A-line kurta, has a round neck, three-quarter sleeves, flared hem","100% polyesterMachine-wash"
"kurtas/anouk/anouk-women-red-printed-a-line-kurta/2323046/buy","Red printed A-line kurta, has a V-neck, short sleeves, straight hem, no slits","Cotton  Machine-wash"
"kurtas/anouk/anouk-women-mustard-yellow-printed-a-line-layered-kurta/2135501/buy","Mustard yellow printed A-line layered kurta, has a round neck, three-quarter sleeves, flared hem, no slits","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-blue-printed-a-line-kurta/2015870/buy","Blue printed A-line kurta, has a round neck, three-quarter sleeves, flared hem","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-yellow-solid-a-line-kurta/1997988/buy","Yellow solid A-line kurta, has a V-neck, a short zip closure, three-quarter sleeves, flared hem, no slits","100% polyester Hand-wash"
"kurtas/anouk/anouk-women-multicoloured-printed-straight-kurta/2012168/buy","Multicoloured printed straight kurta, has a mandarin collar, sleeveless, straight hem, side slits","ViscoseMachine-wash"
"kurtas/anouk/anouk-women-blue-yoke-design-striped-straight-kurta/2323209/buy","Blue yoke design striped straight kurta, has a round neck, three-quarter sleeves, straight hem","100% cottonHand-wash"
"kurtas/anouk/anouk-women-mustard-yellow--taupe-printed-a-line-kurta/2323096/buy","Mustard yellow and taupe printed A-line kurta, has a round neck, three-quarter sleeves, high-low hem, no slits","Cotton Hand-wash"
"kurtas/anouk/anouk-women-grey--navy-blue-printed-a-line-kurta/2322756/buy","Grey and navy blue printed A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slits","50% cotton, 50% rayonMachine-wash"
"kurtas/anouk/anouk-women-off-white--blue-printed-straight-kurta/1681400/buy","Blue printed straight kurta, has a round neck, three-quarter sleeves, straight hem","100% polyester Machine-wash"
"kurtas/anouk/anouk-women-brown-solid-straight-kurta/1435789/buy","Brown straight kurta with embroidered detail, has a round neck, three-quarter sleeves, side slits, straight hem","100% cotton Hand-wash"
"kurtas/anouk/anouk-women-grey--purple-printed-anarkali-kurta/2323222/buy","Grey and purple printed anarkali kurta, has a round neck, three-quarter sleeves, curved hem, no slits","Cotton  Hand-wash"
"kurtas/anouk/anouk-women-red-yoke-design-straight-kurta/2012189/buy","Red yoke design straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","Woven: 100% cottonKnit: viscose/elastaneMachine-wash"
"kurtas/anouk/anouk-women-black-printed-straight-kurta/1781580/buy","Black printed straight kurta, has a round neck, three-quarter sleeves, straight hem, no slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-red-printed-a-line-kurta/2017316/buy","Red printed A-line kurta, has a mandarin collar, three-quarter sleeves, straight hem, front slit","100% cottonHand-wash"
"kurtas/anouk/anouk-women-orange-yoke-design-a-line-kurta/2037275/buy","Orange yoke design A-line kurta, has a V-neck, three-quarter sleeves, straight hem, no slits","85% viscose, 15% polyester Hand-wash"
"kurtas/anouk/anouk-women-orange-printed-chanderi-blend-cold-shoulder-a-line-kurta/2323256/buy","Orange printed A-line kurta, has a square neck, short cold-shoulder sleeves, straight hem, side slits","Chanderi blendHand-wash"
"kurtas/anouk/anouk-maroon-printed-high-low-kurta/1681478/buy","Maroon printed kurta, has a mandarin collar with a split V-neckline, three-quarter sleeves, high-low hem","100% viscose Machine-wash"
"kurtas/anouk/anouk-women-green-embroidered-a-line-kurta/1705908/buy","Green embroidered A-line kurta, has a round neck, long sleeves, straight hem","100% rayon  Machine-wash"
"kurtas/anouk/anouk-women-purple-woven-design-a-line-kurta/2322857/buy","Purple woven design A-line kurta, has a round neck, three-quarter sleeves, flared hem","100% polyesterHand-wash"
"kurtas/anouk/anouk-women-navy-blue-printed-straight-kurta/2012152/buy","Navy Blue printed straight kurta, has a mandarin collar, short sleeves, straight hem, side slits","Polyester  Machine-wash"
"kurtas/anouk/anouk-women-black-solid-straight-kurta/1999995/buy","Black solid straight kurta, has a round neck, three-quarter sleeves, curved hem, side slits","100% cotton  Machine-wash"
"kurtas/anouk/anouk-women-maroon-solid-a-line-kurta/2140521/buy","Maroon solid A-line kurta, has a manadarin neck, three-quarter sleeves, flared hem","60% cotton, 40% viscoseHand-wash"
"kurtas/anouk/anouk-women-brown-printed-a-line-kurta/2370029/buy","Brown printed A-line kurta, has a round neck, three-quarter sleeves, straight hem, no slits","ViscoseMachine-wash"
"kurtas/anouk/anouk-women-rust-red-printed-straight-kurta/2038962/buy","Rust red printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","Cotton  Hand-wash"
"kurtas/anouk/anouk-women-brown-printed-straight-kurta/2012166/buy","Brown printed straight kurta, has a mandarin collar, sleeveless, straight hem, side slits","Viscose Machine-wash"
"kurtas/anouk/anouk-women-taupe--red-printed-anarkali-kurta/2323094/buy","Taupe and red printed anarkali kurta, has a round neck, three-quarter sleeves, asymmetrical hem, no slits","Cotton Hand-wash"
"kurtas/anouk/anouk-women-grey--off-white-striped-a-line-fusion-kurta/2012112/buy","Grey and off-white striped A-line fusion kurta, has a round neck, three-quarter sleeves, two pockets, straight hem, no slitsThis kurta can also be styled as dress","100% cotton  Hand-wash"
"kurtas/anouk/anouk-women-red--beige-printed-straight-kurta/2370034/buy","Red and beige printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","Viscose and cottonMachine-wash"
"kurtas/anouk/anouk-women-orange-printed-a-line-kurta/2012121/buy","Orange printed A-line kurta, has a V-neck, three-quarter sleeves, straight hem, multiple slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-multicoloured-printed-a-line-kurta/2012122/buy","Multicoloured printed A-line kurta, has a V-neck, three-quarter sleeves, straight hem, side slits","Cotton  Machine-wash"
"kurtas/anouk/anouk-blue-printed-kurta/1770948/buy","Blue printed kurta, has a mandarin collar, three-quarter sleeves, side slits","100% polyester  Machine-wash"
"kurtas/anouk/anouk-women-black-yoke-design-straight-kurta/2012190/buy","Black yoke design straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","Woven: 100% cottonKnit: viscose/elastaneMachine-wash"
"kurtas/anouk/anouk-women-black-solid-straight-kurta/2021328/buy","Black solid straight kurta, has a round neck, short sleeves, straight hem, multiple slits","Polyester Machine-wash"
"kurtas/anouk/anouk-women-blue--cream-coloured-printed-a-line-kurta/2323219/buy","Blue and cream-coloured printed A-line kurta, has a round neck, three-quarter sleeves, straight hem, front slit","100% polyesterHand-wash"
"kurtas/anouk/anouk-green-solid-straight-kurta/1435787/buy","Green solid straight kurta, has a round neck, three-quarter sleeves, straight hem","Cotton Hand-wash"
"kurtas/anouk/anouk-women-black--red-printed-a-line-kurta/2322828/buy","Black and red printed A-line kurta, has a round neck, three-quarter sleeves, curved hem","100% polyesterMachine-wash"
"kurtas/anouk/anouk-women-pink--black-striped-straight-kurta/1714338/buy","Pink and black striped straight kurta with embroidered detail, has a mandarin collar, three-quarter sleeves with button-and-tab detail, straight hem, side slits","Polyester blendHand-wash"
"kurtas/anouk/anouk-women-white--peach-coloured-printed-a-line-kurta/1860305/buy","White and peach-coloured printed A-line kurta, has a round neck, short sleeves, asymmetric hem","100% polyester  Machine-wash"
"kurtas/anouk/anouk-women-yellow--red-printed-a-line-kurta/2322830/buy","Yellow and red printed A-line kurta, has a mandarin collar, three-quarter sleeves, straight hem, multiple slits, an attached liningManufacturer Info: The Supply FactoryCountry of Origin: India","Polyester  Hand-wash"
"kurtas/anouk/anouk-women-blue-printed-kurta/1556704/buy","Blue printed kurta, has a round neck, three-quarter sleeves, has side slits","Cotton  Machine-wash"
"kurtas/anouk/anouk-women-brown--beige-printed-a-line-kurta/2135949/buy","Brown and beige printed A-line kurta, has a mandarin collar, three-quarter sleeves, straight hem, front slit","100% cottonHand-wash"
"kurtas/anouk/anouk-women-maroon-printed-kurta/1705018/buy","Maroon woven printed kurta, has a round neck, a short button placket, three-quarter sleeves, straight hem, side slitsHas an attached lining ","Shell: 100% polyester Lining: 100% cotton Machine-wash"
"kurtas/anouk/anouk-women-brown-printed-a-line-kurta/2322877/buy","Brown printed A-line kurta, has a mandarin collar, three-quarter sleeves, high-low hem","100% polyesterMachine-wash"
"kurtas/anouk/anouk-women-beige-solid-a-line-kurta/1897450/buy","Beige solid A-line kurta, has a round neck, three-quarter sleeves, straight hem, no slits","Polyester  Hand-wash"
"kurtas/anouk/anouk-women-black-printed-a-line-kurta/1999981/buy","Black printed A-line kurta, has a round neck, short sleeves, flared hem, multiple slits","100% cotton Hand-wash"
"kurtas/anouk/anouk-women-white--blue-printed-straight-kurta/2012195/buy","White and blue printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","100% polyesterMachine-wash"
"kurtas/anouk/anouk-women-cream-coloured-printed-a-line-kurtha/2140461/buy","Cream-Coloured printed woven A-line kurta, has a shirt collar, three-quarter sleeves, button closure, flared hem","100% cottonHand-wash"
"kurtas/anouk/anouk-women-green-printed-a-line-kurta/2135037/buy","Green printed A-line kurta, has a round neck, three-quarter sleeves, straight hem, front slit","100% polyesterHand-wash"
"kurtas/anouk/anouk-women-black-solid-a-line-kurta/1679904/buy","Black solid a-line kurta, has a boat neck, long sleeve, straight hem","Polyester  Machine-wash"
"kurtas/anouk/anouk-women-white--red-printed-straight-kurta/1897409/buy","White and red printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-blue--white-printed-anarkali-kurta/2323223/buy","Blue and white printed Anarkali kurta, has a round neck, three-quarter sleeves, curved hem, front slit","100% viscose rayonMachine-wash"
"kurtas/anouk/anouk-women-navy--off-white-printed-a-line-kurta/1750289/buy","Navy Blue and off-white printed A-Line kurta, has a round neck, short sleeves","100% cotton  Machine-wash"
"kurtas/anouk/anouk-women-red-a-line-kurta/1997987/buy","Red A-line kurta with printed detail, has a V-neck, three-quarter sleeves, flared hem, no slitsThis fusion kurta can also be worn as a dress","100% polyester Hand-wash"
"kurtas/anouk/anouk-orange-embroidered-linen-kurta/1126761/buy","Orange woven kurta with embroidered detail, has a round neck, sleeveless,&nbsp;asymmetrical hem","88% cotton, 12% linenHand-wash cold"
"kurtas/anouk/anouk-women-white--blue-printed-a-line-kurta/2323235/buy","White and blue printed A-line kurta, has a mandarin collar, short sleeves, flared hem, side slits","Cotton  Hand-wash"
"kurtas/anouk/anouk-women-orange-printed-anarkali-kurta/2135946/buy","Orange printed Anarkali kurta, has a round neck, three-quarter sleeves, flared hem","100% cottonHand-wash"
"kurtas/anouk/anouk-women-magenta-printed-a-line-kurta/1427159/buy","Magenta printed A-line kurta, has a round neck with a crochet detail below, three-quarter sleeves, asymmetric hem","100% rayonHand-wash"
"kurtas/anouk/anouk-women-maroon--grey-printed-straight-kurta/2323125/buy","Maroon and grey printed straight kurta, has a round neck, three-quarter sleeves, side slits, straight hem","100% cottonHand-wash"
"kurtas/anouk/anouk-women-blue--maroon-printed-a-line-kurta/2322732/buy","Blue and maroon printed A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slits","100% cottonHand-wash"
