"kurtas/anouk/anouk-women-beige-solid-a-line-kurta/1501742/buy","Beige solid A-line kurta, has a round neck with sequinned detail below, sleeveless, asymmetric hem","Polyester blend Hand-wash"
"kurtas/anouk/anouk-women-off-white--red-printed-straight-kurta/1679906/buy","Off-white and red printed straight kurta, has a round neck, three-quarter sleeves, curved hem","98% polyester, 2% elastane Machine-wash"
"kurtas/anouk/anouk-women-black-solid-straight-kurta/1679916/buy","Black and red solid straight kurta, has a round neck, three-quarter sleeves, high-low hem, front slit","Polyester Machine-wash"
"kurtas/anouk/anouk-women-red-solid-a-line-kurta/1679927/buy","Red solid a-line kurta, has a mandarin collar with a split-V neck, three-quarter sleeves, curved hem","Polyester Machine-wash"
"kurtas/anouk/anouk-women-red-solid-a-line-kurta/1679924/buy","Red and off-white A-line kurta, has a round neck, three-quarter sleeves, asymmetric hem","100% polyester  Machine-wash"
"kurtas/anouk/anouk-women-blue-printed-request-chambray-straight-kurta/1680888/buy","Blue printed straight kurta, has a round neck, sleeveless, asymmetric hem","Cotton  Machine-wash"
"kurtas/anouk/anouk-women-blue-solid-straight-chambray-kurta/1680934/buy","Blue solid pathani kurta, has a shirt collar, sleeveless, high-low hem","100% cotton  Machine-wash"
"kurtas/anouk/anouk-blue--magenta-colourblocked-a-line-kurta/1681343/buy","Blue and magenta kurta, has a round neck with a tie-up detail on the back, three-quarter sleeves with floral print on the hems, high-low hem","100% cotton Machine-wash"
"kurtas/anouk/anouk-women-magenta--black-printed-straight-kurta/1681387/buy","Magenta and black printed straight kurta, has a mandarin collar with short button placket, sleeveless, straight hem","100% polyester Machine-wash"
"kurtas/anouk/anouk-women-blue--white-printed-straight-kurta/1685275/buy","Blue and white printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","100% polyester Machine-wash"
"kurtas/anouk/anouk-women-blue-printed-straight-kurta/1685293/buy","Blue printed straight kurta, has a round neck, sleeveless, straight hem, side slits","100% polyester Machine-wash"
"kurtas/anouk/anouk-women-white--orange-printed-a-line-kurta/1685282/buy","White and orange printed A-line kurta, has a notched mandarin collar, sleeveless, straight hem","100% polyester  Machine-wash"
"kurtas/anouk/anouk-women-orange-yoke-design-a-line-kurta/1770973/buy","Orange printed kurta, has a mandarin collar, three-quarter sleeves, high-low hem","Polyester  Machine-wash"
"kurtas/anouk/anouk-women-blue--purple-printed-a-line-kurta/1770957/buy","Blue and purple printed kurta, has a V-neck, sleeveless, straight hem","Polyester  Machine-wash"
"kurtas/anouk/anouk-women-blue--purple-yoke-design-a-line-kurta/1770972/buy","Blue and purple kurta, has a mandarin collar, short sleeves, asymmetric hem","Polyester  Machine-wash"
"kurtas/anouk/anouk-women-yellow-solid-a-line-kurta/1775944/buy","Yellow kurta, has a V-neck, sleeveless, a printed panel, pom-pom trim along the hem","Polyester  Machine-wash"
"kurtas/anouk/anouk-women-taupe-printed-straight-kurta/1781523/buy","Taupe printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, multiple slits","100% viscoseHand-wash"
"kurtas/anouk/anouk-women-navy--off-white-printed-a-line-kurta/1750277/buy","Navy blue and off-white printed A-Line kurta, has a mandarin collar, short sleeves, asymmetric hem","100% cotton  Machine-wash"
"kurtas/anouk/anouk-women-black--off-white-printed-a-line-kurta/1705029/buy","Black and off-white A-line kurta, has a shirt collar, a full button placket, three-quarter sleeves, a patch pocket, high-low hem","100% polyester Hand-wash"
"kurtas/anouk/anouk-women-red--blue-printed-a-line-kurta/1705901/buy","Blue and red knitted and woven printed A-line kurta, has a V-neck, sleeveless, asymmetric hem","Woven: 100% polyesterKnit: viscose and elastaneMachine-wash"
"kurtas/anouk/anouk-women-maroon--blue-printed-straight-kurta/1705904/buy","Maroon and blue printed straight kurta, has a round neck, three-quarter sleeves, slit on the front, straight hem","100% polyester Machine-wash"
"kurtas/anouk/anouk-women-grey--white-printed-a-line-kurta/1714341/buy","Grey and white printed A-line kurta, has a round neck with embroidered applique detail, three-quarter sleeves","Polyester blendHand-wash"
"kurtas/anouk/anouk-women-blue--white-printed-a-line-kurta/1714340/buy","Blue and white printed A-line kurta, has a round neck with embroidered applique detail, three-quarter sleeves","Polyester blendHand-wash"
"kurtas/anouk/anouk-women-white--peach-coloured-printed-straight-kurta/1860315/buy","White and peach-coloured printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","100% polyester  Machine-wash"
"kurtas/anouk/anouk-women-grey-printed-straight-kurta/1846907/buy","Grey printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, front slit","Viscose Machine-wash"
"kurtas/anouk/anouk-women-white-printed-a-line-kurta/2322959/buy","White printed A-line kurta, has a round neck, three-quarter sleeves, cureved hem, side slits","Viscose Hand-wash"
"kurtas/anouk/anouk-women-pink-dyed-straight-kurta/2372237/buy","Pink dyed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slits","1005 cottonMachine-wash"
