brand,url_part,title,final Price,Original Price
AKS,kurtas/aks/aks-women-mustard-yellow--blue-printed-straight-kurta/2448945/buy,Printed Straight Kurta,599,999
AKS,kurtas/aks/aks-women-burgundy-floral-print-anarkali-kurta/2082410/buy,Floral Print Anarkali Kurta,749,1499
AKS,kurtas/aks/aks-women-navy-embroidered-anarkali-kurta/2024408/buy,Embroidered Anarkali Kurta,849,1699
AKS,kurtas/aks/aks-women-blue--white-printed-anarkali-kurta/1945077/buy,Printed Anarkali Kurta,809,1799
AKS,kurtas/aks/aks-women-mustard-yellow-printed-angrakha-kurta/2111535/buy,Printed Angrakha Kurta,699,999
AKS,kurtas/aks/aks-women-olive-green--white-printed-straight-kurta/2250072/buy,Printed Straight Kurta,659,1199
AKS,kurtas/aks/aks-women-navy-blue--white-printed-a-line-kurta/2463704/buy,Printed A-Line Kurta,909,1299
AKS,kurtas/aks/aks-women-navy-blue-printed-anarkali-kurta/2082351/buy,Printed Anarkali Kurta,809,1799
AKS,kurtas/aks/aks-women-navy-blue--cream-coloured-khari-print-straight-kurta/2249967/buy,Khari Print Straight Kurta,799,1599
AKS,kurtas/aks/aks-women-white-yoke-design-straight-kurta/2448938/buy,Yoke Design Straight Kurta,1039,1599
AKS,kurtas/aks/aks-women-pink-printed-anarkali-kurta/2095038/buy,Anarkali Kurta,815,1599
AKS,kurtas/aks/aks-women-blue--off-white-printed-a-line-kurta/2024411/buy,Printed A-Line Kurta,854,1899
AKS,kurtas/aks/aks-women-grey--off-white-printed-a-line-kurta/2249974/buy,Printed A-Line Kurta,649,1299
AKS,kurtas/aks/aks-women-red-printed-pathani-kurta/2095050/buy,Printed Pathani Kurta,604,1099
AKS,kurtas/aks/aks-women-green-yoke-design-anarkali-kurta/2382476/buy,Yoke Design Anarkali Kurta,999,1999
AKS,kurtas/aks/aks-women-blue-yoke-design-straight-kurta/2249987/buy,Yoke Design Straight Kurta,649,999
AKS,kurtas/aks/aks-women-mustard-yellow-solid-straight-kurta/1945065/buy,Solid Straight Kurta,599,999
AKS,kurtas/aks/aks-women-yellow-floral-print-straight-kurta/2382498/buy,Printed Straight Kurta,604,1099
AKS,kurtas/aks/aks-women-navy-blue--rust-red-yoke-design-anarkali-kurta/2262289/buy,Yoke Design Anarkali Kurta,749,1499
AKS,kurtas/aks/aks-women-yellow--grey-checked-cold-shoulder-straight-kurta/2111511/buy,Cold Shoulder Straight Kurta,604,1099
AKS,kurtas/aks/aks-women-yellow--blue-printed-layered-anarkali-kurta/2024455/buy,Printed Anarkali Kurta,1099,2199
AKS,kurtas/aks/aks-women-navy-printed-a-line-kurta/2024425/buy,Printed A-Line Kurta,699,999
AKS,kurtas/aks/aks-women-yellow--red-embroidered-anarkali-kurta/2262338/buy,Embroidered Anarkali Kurta,999,1999
AKS,kurtas/aks/aks-women-rust-red--beige-printed-straight-kurta/2250026/buy,Printed Straight Kurta,629,899
AKS,kurtas/aks/aks-red--navy-colourblocked-straight-kurta/2082389/buy,Colourblocked Straight Kurta,604,1099
AKS,kurtas/aks/aks-women-turquoise-blue-solid-anarkali-kurta/2382479/buy,Solid Anarkali Kurta,1044,1899
AKS,kurtas/aks/aks-women-mustard-yellow--maroon-printed-a-line-kurta/2250103/buy,Printed A-Line Kurta,604,1099
AKS,kurtas/aks/aks-women-pink-solid-straight-kurta/1951416/buy,Solid Straight Kurta,458,899
AKS,kurtas/aks/aks-women-grey-solid-straight-kurta/2262271/buy,Solid Straight Kurta,604,1099
AKS,kurtas/aks/aks-women-black-printed-a-line-kurta/2250028/buy,Printed A-Line Kurta,604,1099
AKS,kurtas/aks/aks-women-blue-solid-anarkali-kurta/2082322/buy,Women Solid Anarkali Kurta,799,1599
AKS,kurtas/aks/aks-women-red-printed-detail-a-line-kurta/2249980/buy,Printed Detail A-Line Kurta,649,1299
AKS,kurtas/aks/aks-women-white--mustard-yellow-printed-straight-kurta/2448864/buy,Printed Straight Kurta,509,999
AKS,kurtas/aks/aks-women-navy-printed-detail-straight-kurta/2111515/buy,Printed Detail Straight Kurta,649,1299
AKS,kurtas/aks/aks-women-grey--off-white-screen-print-a-line-kurta/2249976/buy,Screen Print A-Line Kurta,649,1299
AKS,kurtas/aks/aks-women-green-embroidered-straight-kurta/2382480/buy,Embroidered Straight Kurta,1099,2199
AKS,kurtas/aks/aks-women-green--peach-coloured-floral-print-off-shoulder-straight-kurta/2111396/buy,Off-Shoulder Straight Kurta,629,899
AKS,kurtas/aks/aks-women-yellow-embroidered-straight-kurta/2382482/buy,Embroidered Straight Kurta,1036,1699
AKS,kurtas/aks/aks-women-green-printed-cold-shoulder-straight-kurta/2111372/buy,Printed Straight Kurta,604,1099
AKS,kurtas/aks/aks-women-grey--blue-printed-straight-kurta/2493377/buy,Printed Straight Kurta,674,899
AKS,kurtas/aks/aks-women-off-white--blue-printed-high-low-a-line-kurta/2463727/buy,Printed High-Low A-Line Kurta,1039,1599
AKS,kurtas/aks/aks-women-pink--cream-coloured-printed-a-line-kurta/2167344/buy,Printed A-Line Kurta,604,1099
AKS,kurtas/aks/aks-women-navy-blue-printed-detail-a-line-kurta/2250046/buy,Printed Detail A-Line Kurta,649,1299
AKS,kurtas/aks/aks-women-white-embroidered-detail-chanderi-silk-straight-kurta/2382483/buy,Embroidered Straight Kurta,1036,1699
AKS,kurtas/aks/aks-women-green--orange-floral-print-a-line-kurta/2493425/buy,Floral Print A-Line Kurta,1044,1899
AKS,kurtas/aks/aks-women-blue--off-white-ethnic-print-straight-kurta/2382499/buy,Ethnic Print Straight Kurta,659,1199
AKS,kurtas/aks/aks-women-cream-coloured--blue-printed-straight-kurta/2448872/buy,Printed Straight Kurta,659,1099
AKS,kurtas/aks/aks-women-navy-blue-embroidered-straight-kurta/1945064/buy,Embroidered Straight Kurta,649,1299
AKS,kurtas/aks/aks-women-mustard--maroon-printed-a-line-kurta-with-ethnic-jacket/2250061/buy,Printed A-Line Kurta,649,1299
AKS,kurtas/aks/aks-women-brown--pink-floral-print-off-shoulder-straight-kurta/2111397/buy,Off-Shoulder Straight Kurta,629,899
AKS,kurtas/aks/aks-women-green--peach-coloured-printed-straight-kurta/2111395/buy,Printed Straight Kurta,604,1099
AKS,kurtas/aks/aks-women-maroon-solid-fringed-a-line-kurta/2111536/buy,Solid A-Line Kurta,815,1599
AKS,kurtas/aks/aks-women-grey--brown-printed-a-line-kurta/2111534/buy,Printed A-Line Kurta,649,1299
AKS,kurtas/aks/aks-women-peach-coloured-solid-a-line-kurta/2111420/buy,Solid A-Line Kurta,999,1999
AKS,kurtas/aks/aks-women-brown--cream-coloured-printed-anarkali-kurta/2262288/buy,Printed Anarkali Kurta,899,1999
AKS,kurtas/aks/aks-women-coral-pink--peach-coloured-printed-cold-shoulder-straight-kurta/2111513/buy,Cold-Shoulder Straight Kurta,604,1099
AKS,kurtas/aks/aks-women-navy-blue--white-embroidered-detail-a-line-kurta/2463709/buy,Embroidered A-Line Kurta,1399,1999
AKS,kurtas/aks/aks-women-blue--magenta-printed-off-shoulder-anarkali-kurta/2111532/buy,Printed Anarkali Kurta,749,1499
AKS,kurtas/aks/aks-women-blue--off-white-printed-straight-kurta/2249986/buy,Printed Straight Kurta,649,1299
AKS,kurtas/aks/aks-women-navy-blue--red-printed-anarkali-kurta/2250037/buy,Printed Anarkali Kurta,849,1699
AKS,kurtas/aks/aks-women-beige--peach-coloured-colourblocked-straight-kurta/2448854/buy,Colourblocked Straight Kurta,659,1099
AKS,kurtas/aks/aks-women-navy--beige-printed-straight-kurta/2262286/buy,Printed Straight Kurta,699,999
AKS,kurtas/aks/aks-women-navy-blue--red-printed-straight-kurta/2250039/buy,Printed Straight Kurta,629,899
AKS,kurtas/aks/aks-women-brown--grey-printed-off-shoulder-a-line-kurta/2111533/buy,Off-Shoulder A-Line Kurta,749,1499
AKS,kurtas/aks/aks-women-navy--off-white-printed-straight-kurta/2167343/buy,Printed Straight Kurta,699,999
AKS,kurtas/aks/aks-women-maroon--black-printed-off-shoulder-straight-kurta/1945104/buy,Printed Straight Kurta,584,899
AKS,kurtas/aks/aks-women-black-printed-detail-straight-kurta/2111379/buy,Printed Detail Straight Kurta,699,999
AKS,kurtas/aks/aks-women-black--off-white-printed-straight-kurta/2493414/buy,Printed Straight Kurta,824,1099
AKS,kurtas/aks/aks-women-orange--mustard-yellow-printed-anarkali-kurta/1945096/buy,Printed Anarkali Kurta,815,1599
AKS,kurtas/aks/aks-women-navy-solid-straight-kurta/2111407/buy,Solid Straight Kurta,599,999
AKS,kurtas/aks/aks-women-off-white--yellow-printed-anarkali-kurta/2111383/buy,Printed Anarkali Kurta,849,1699
AKS,kurtas/aks/aks-women-peach-coloured--charcoal-grey-printed-angrakha-kurta/2250057/buy,Printed Angrakha Kurta,899,1999
AKS,kurtas/aks/aks-women-brown--off-white-printed-anarkali-kurta/2448918/buy,Printed Anarkali Kurta,1049,1499
AKS,kurtas/aks/aks-women-red--navy-printed-a-line-kurta/2250038/buy,Printed A-Line Kurta,649,1299
AKS,kurtas/aks/aks-women-blue--white-printed-a-line-kurta/2095084/buy,A-Line Kurta,815,1599
AKS,kurtas/aks/aks-women-navy-blue--cream-coloured-khari-print-anarkali-kurta/2249968/buy,Khari Print Anarkali Kurta,849,1699
AKS,kurtas/aks/aks-women-blue--red-printed-a-line-kurta/2262276/buy,Printed A-Line Kurta,749,1499
AKS,kurtas/aks/aks-women-red--mustard-yellow-printed-anarkali-kurta/2448903/buy,Printed Anarkali Kurta,909,1299
AKS,kurtas/aks/aks-women-black--grey-printed-anarkali-kurta/2493400/buy,Printed Anarkali Kurta,1049,1499
AKS,kurtas/aks/aks-women-peach-coloured-solid-straight-kurta/2448890/buy,Solid Straight Kurta,599,999
AKS,kurtas/aks/aks-women-pink--yellow-floral-print-a-line-kurta/2493422/buy,Printed A-Line Kurta,909,1299
AKS,kurtas/aks/aks-women-blue-solid-straight-kurta/2111406/buy,Solid Straight Kurta,629,899
AKS,kurtas/aks/aks-women-green--peach-coloured-floral-print-a-line-kurta/2111393/buy,Printed A-Line Kurta,809,1799
AKS,kurtas/aks/aks-women-blue--beige-colourblocked-straight-kurta/2448855/buy,Colourblocked Straight Kurta,659,1099
AKS,kurtas/aks/aks-women-cream-coloured--blue-checked-a-line-kurta/2262307/buy,Checked A-Line Kurta,649,1299
AKS,kurtas/aks/aks-women-blue--yellow-embellished-anarkali-kurta/2111405/buy,Embellished Anarkali Kurta,854,1899
AKS,kurtas/aks/aks-women-black--brown-printed-anarkali-kurta/2250060/buy,Printed Anarkali Kurta,649,1299
AKS,kurtas/aks/aks-women-brown--black-printed-straight-kurta/2448868/buy,Printed Straight Kurta,659,1099
AKS,kurtas/aks/aks-women-magenta-woven-design-straight-kurta/2448883/buy,Woven Design Straight Kurta,599,999
AKS,kurtas/aks/aks-women-olive-brown--black-printed-straight-kurta/2250058/buy,Printed Straight Kurta,699,999
AKS,kurtas/aks/aks-women-red-solid-fringed-straight-kurta/2111519/buy,Solid Straight Kurta,604,1099
AKS,kurtas/aks/aks-women-grey--off-white-printed-a-line-kurta/2249975/buy,Printed A-Line Kurta,649,1299
AKS,kurtas/aks/aks-women-navy-blue--gold-toned-printed-a-line-kurta/2167335/buy,Printed A-Line Kurta,604,1099
AKS,kurtas/aks/aks-women-mustard-yellow-geometric-print-straight-kurta/2493403/buy,Printed Straight Kurta,909,1299
AKS,kurtas/aks/aks-women-brown--off-white-printed-a-line-kurta/2111404/buy,Printed A-Line Kurta,854,1899
AKS,kurtas/aks/aks-women-pink--green-printed-straight-kurta/1951403/buy,Printed Straight Kurta,629,899
AKS,kurtas/aks/aks-women-blue--brown-printed-straight-kurta/2249983/buy,Printed Straight Kurta,699,999
AKS,kurtas/aks/aks-women-teal-blue--green-printed-anarkali-kurta/2448909/buy,Printed Anarkali Kurta,959,1599
AKS,kurtas/aks/aks-women-yellow-embroidered-detail-straight-kurta/2382481/buy,Embroidered Straight Kurta,1099,2199
AKS,kurtas/aks/aks-women-peach-coloured--grey-printed-a-line-kurta/2262285/buy,Printed A-Line Kurta,604,1099
AKS,kurtas/aks/aks-women-yellow--grey-yoke-design-anarkali-kurta/2262270/buy,Yoke Design Anarkali Kurta,879,1599
AKS,kurtas/aks/aks-women-beige--black-printed-anarkali-kurta/2448906/buy,Printed Anarkali Kurta,909,1299
AKS,kurtas/aks/aks-women-navy-blue-printed-anarkali-kurta/2463728/buy,Printed Anarkali Kurta,1049,1499
AKS,kurtas/aks/aks-women-cream-coloured-printed-a-line-kurta/2111424/buy,Printed A-Line Kurta,999,1999
AKS,kurtas/aks/aks-women-red-printed-a-line-kurta/2167372/buy,Printed A-Line Kurta,649,1299
AKS,kurtas/aks/aks-women-magenta--white-printed-a-line-kurta/2448898/buy,Printed A-Line Kurta,959,1599
AKS,kurtas/aks/aks-women-red--grey-printed-a-line-kurta/2111382/buy,Printed A-Line Kurta,799,1599
AKS,kurtas/aks/aks-women-green--beige-printed-anarkali-kurta/2167376/buy,Printed Anarkali Kurta,815,1599
AKS,kurtas/aks/aks-women-mustard-yellow--silver-embellished-a-line-kurta/2111402/buy,Embellished A-Line Kurta,799,1599
AKS,kurtas/aks/aks-women-mustard-yellow--cream-coloured-printed-a-line-kurta/2250051/buy,Printed A-Line Kurta,749,1499
AKS,kurtas/aks/aks-women-pink--yellow-printed-straight-angrakha-kurta/2111392/buy,Printed Straight Kurta,699,999
AKS,kurtas/aks/aks-women-blue--red-printed-off-shoulder-a-line-kurta/1945099/buy,Printed A-Line Kurta,989,2199
AKS,kurtas/aks/aks-women-maroon--beige-printed-fringed-straight-kurta/2448921/buy,Printed Fringed Straight Kurta,779,1299
AKS,kurtas/aks/aks-women-mustard-yellow-solid-straight-kurta/1945060/buy,Solid Straight Kurta,604,1099
AKS,kurtas/aks/aks-women-off-white--mustard-yellow-printed-straight-kurta/2111412/buy,Printed Straight Kurta,604,1099
AKS,kurtas/aks/aks-women-pink-printed-anarkali-kurta/2167370/buy,Printed Anarkali Kurta,899,1799
AKS,kurtas/aks/aks-women-navy-silk-solid-anarkali-kurta/2382492/buy,Solid Anarkali Kurta,999,1999
AKS,kurtas/aks/aks-women-charcoal-grey-yoke-design-straight-kurta/2262333/buy,Yoke Design Straight Kurta,649,1299
AKS,kurtas/aks/aks-women-brown--off-white-printed-a-line-kurta/1945098/buy,Printed A-Line Kurta,659,1199
AKS,kurtas/aks/aks-women-cream-coloured-yoke-design-a-line-kurta/2463706/buy,Yoke Design A-Line Kurta,1019,1699
AKS,kurtas/aks/aks-women-beige--brown-printed-straight-kurta/2111377/buy,Printed Straight Kurta,674,899
AKS,kurtas/aks/aks-women-navy--white-printed-anarkali-kurta/2095464/buy,Printed Anarkali Kurta,649,1299
